text,category,category_id,thumb_cmc_pitch,thumb_cmc_yaw,index_mcp_pitch,middle_mcp_pitch,pinky_mcp_pitch,ring_mcp_pitch
把手张开至极限状态，五指完全伸直，大拇指往外侧展到最大。,Gesture_Open,0,255,255,255,255,255,255
把手张开到尽可能大，五根手指全部处于伸直状态，拇指向外侧拉至最大角度。,Gesture_Open,0,255,255,255,255,255,255
让五指全部伸直，手掌完全张开，拇指向外端的角度达到最大值。,Gesture_Open,0,255,255,255,255,255,255
手指全部伸直，手掌完全展开，拇指尽量外展到最大程度。,Gesture_Open,0,255,255,255,255,255,255
把手指都伸直，使手掌尽量张开，拇指朝外扩到最大角度。,Gesture_Open,0,255,255,255,255,255,255
让五指保持伸直，手掌张开到极限，拇指向外侧达到最大展角。,Gesture_Open,0,255,255,255,255,255,255
五根手指全部直立伸展，手掌完全展开，拇指向外侧最远位置。,Gesture_Open,0,255,255,255,255,255,255
请把手指全部伸直，手掌展平成扇形，拇指外展到最大角度。,Gesture_Open,0,255,255,255,255,255,255
五指完全伸直，手掌张开到极限，拇指向外延展至最大值。,Gesture_Open,0,255,255,255,255,255,255
让手指逐个伸直，整体张开到极限，拇指朝外到最大角度。,Gesture_Open,0,255,255,255,255,255,255
把手张成极开形，五指全都伸直，拇指向外侧的角度达到最大。,Gesture_Open,0,255,255,255,255,255,255
用力握成一个最紧的实心拳头，大拇指压在四指外面，且在食指上面。,Gesture_Fist,1,72,66,0,0,0,0
专注完成握拳任务，保持拳头紧实，指尖向内收拢即可。,Gesture_Fist,1,72,66,0,0,0,0
大拇指压在四指之外，置于食指上方，拳头要尽量紧实。,Gesture_Fist,1,72,66,0,0,0,0
把手握成最紧的拳头，手指全部紧贴，拇指放在外侧并略高于食指。,Gesture_Fist,1,72,66,0,0,0,0
将五指紧扣成拳，拇指放在外侧壳面，位于食指之上。,Gesture_Fist,1,72,66,0,0,0,0
以力握拳，指节收紧，拇指紧贴外侧并置于食指之上方。,Gesture_Fist,1,72,66,0,0,0,0
把手握成一个结实的拳头，拇指压在外面，位于食指之上方区域。,Gesture_Fist,1,72,66,0,0,0,0
用力握紧，指尖并拢成拳，拇指放在外侧并置于食指之上。,Gesture_Fist,1,72,66,0,0,0,0
拳头尽量紧实成型，拇指跨在外缘，覆盖在四指之上。,Gesture_Fist,1,72,66,0,0,0,0
让拳头达到最大紧实度，拇指压在外侧，位于食指之上方。,Gesture_Fist,1,72,66,0,0,0,0
五指并拢成拳，拇指在外圈压着并略高于食指位置。,Gesture_Fist,1,72,66,0,0,0,0
