text,category,thumb_cmc_pitch,thumb_cmc_yaw,index_mcp_pitch,middle_mcp_pitch,pinky_mcp_pitch,ring_mcp_pitch
把手张开至极限状态，五指完全伸直，大拇指往外侧展到最大。,Gesture_Open,255,255,255,255,255,255
用力握成一个最紧的实心拳头，大拇指压在四指外面，且在食指上面。,Gesture_Fist,72,66,0,0,0,0
用力握成一个最紧的实心拳头，大拇指压在四指外面，且在食指和中指中间。,Gesture_Fist,74,0,0,0,0,0
手部完全放松，呈现自然下垂时的微曲状态。,Gesture_Open,250,250,250,250,250,250
拇指侧摆自然打开，其他四指全部弯曲到底。,Single_Thumb,250,250,0,0,0,0
拇指往掌心方向侧摆完全收拢并完全弯曲，另外四根手指完全伸直。,Single_Thumb,0,0,255,255,255,255
除了大拇指保持张开外，食指、中指、无名指和小指全部收缩握拳。,Single_Thumb,250,250,0,0,0,0
所有关节复位到最原始的自然张开状态。,Gesture_Open,250,250,250,250,250,250
手指全部呈现半弯曲状态，像一个放松的爪子。,Extent_Half,90,154,170,170,170,170
慢慢收拢所有手指，做成一个内部有空间的空心拳头。,Power_Cylinder,33,255,29,32,30,29
四根手指自然伸直，大拇指以最大角度往手心正前方侧摆。,Single_Thumb,250,0,250,250,250,250
大拇指完全伸直并侧展，食指到小指只弯曲第一和第二指节，呈直角。,Extent_Half,250,250,32,32,32,31
食指和中指完全伸直，无名指、小指和大拇指全部完全弯曲收起来。,Gesture_Social,0,250,255,255,0,0
食指、中指和无名指完全伸直，小指和大拇指完全弯曲。,Gesture_Social,0,250,255,255,255,0
把除了食指之外的所有手指都紧紧握起来。,Single_Index,0,250,250,0,0,0
仅仅大拇指保持不动，另外四根手指完全弯曲。,Single_Thumb,250,250,0,0,0,0
大拇指和食指完全伸直，其余三指紧贴掌心。,Gesture_Social,255,250,255,0,0,0
所有手指稍微往回缩一点，呈现要抓东西前的预备姿势。,Extent_Slight,85,180,177,185,181,169
把拳头稍微松开一点点，不要攥得那么死。,Extent_Slight,46,183,0,0,0,0
完全张开手掌，但大拇指的关节微微往回扣一点。,Extent_Slight,255,153,255,255,255,255
像死机了一样，手部保持一个不发力的虚弱半开状态。,Extent_Half,105,153,133,134,132,140
大拇指侧摆到正前方，指腹和食指指腹精准对捏。,Precision_Pinch_2,87,83,121,250,250,250
大拇指侧摆，和食指、中指的三根指尖捏在一起。,Precision_Pinch_3,87,42,117,110,250,250
大拇指和中指对捏，其他手指自然张开。,Single_Middle,100,0,250,115,250,250
食指弯曲，大拇指贴在食指的侧面，做侧边捏合（像拿钥匙）。,Precision_Lateral,59,158,94,250,250,250
用大拇指和食指轻轻捏住一根细针。,Precision_Pinch_2,99,79,119,250,250,250
拇指和食指捏合在一起，其他三根手指往手背方向用力翘起。,Precision_Pinch_2,99,79,117,255,255,255
模拟手里正捏着一张非常薄的A4纸。,Precision_Pinch_2,99,79,117,116,125,135
用大拇指和食指夹住一张银行卡的边缘。,Precision_Pinch_2,92,77,118,250,250,250
拇指与食指呈C型张开，准备捏取一个乒乓球。,Precision_Pinch_2,136,77,136,250,250,250
用大拇指和食指小心翼翼地捏住一根头发丝。,Precision_Pinch_2,96,84,117,250,250,250
大拇指侧摆过来，把食指和中指紧紧锁住。,Precision_Lateral,96,43,111,106,250,250
把大拇指卡在食指和中指的缝隙之间。,Gesture_Social,96,43,111,106,250,250
